Frequence = 10 Ghz;
N = 5784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000190142; Faza = -118.582 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
3191   X = 219 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3192   X = 219 mm; Y = 20 mm; Amplitude = 0.000435155; Faza = -91.5576 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3193   X = 221 mm; Y = 20 mm; Amplitude = 0.000520169; Faza = 76.8884 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3194   X = 221 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3195   X = 221 mm; Y = 20 mm; Amplitude = 0.000445794; Faza = -99.4822 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3196   X = 223 mm; Y = 20 mm; Amplitude = 0.000550357; Faza = 71.8748 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3197   X = 223 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3198   X = 223 mm; Y = 20 mm; Amplitude = 0.000461677; Faza = -106.868 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3199   X = 225 mm; Y = 20 mm; Amplitude = 0.000570346; Faza = 67.5917 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3200   X = 225 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3201   X = 225 mm; Y = 20 mm; Amplitude = 0.000479478; Faza = -113.536 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3202   X = 227 mm; Y = 20 mm; Amplitude = 0.000577219; Faza = 63.4222 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3203   X = 227 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3204   X = 227 mm; Y = 20 mm; Amplitude = 0.000495653; Faza = -119.561 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3205   X = 229 mm; Y = 20 mm; Amplitude = 0.000570963; Faza = 58.7748 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3206   X = 229 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3207   X = 229 mm; Y = 20 mm; Amplitude = 0.000507322; Faza = -125.183 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3208   X = 231 mm; Y = 20 mm; Amplitude = 0.000554779; Faza = 53.0697 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3209   X = 231 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3210   X = 231 mm; Y = 20 mm; Amplitude = 0.000512801; Faza = -130.727 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3211   X = 233 mm; Y = 20 mm; Amplitude = 0.000534809; Faza = 45.8539 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3212   X = 233 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3213   X = 233 mm; Y = 20 mm; Amplitude = 0.000511952; Faza = -136.526 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3214   X = 235 mm; Y = 20 mm; Amplitude = 0.000518943; Faza = 37.0107 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3215   X = 235 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3216   X = 235 mm; Y = 20 mm; Amplitude = 0.000506166; Faza = -142.878 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3217   X = 237 mm; Y = 20 mm; Amplitude = 0.000514846; Faza = 26.9718 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3218   X = 237 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3219   X = 237 mm; Y = 20 mm; Amplitude = 0.000498052; Faza = -149.992 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3220   X = 239 mm; Y = 20 mm; Amplitude = 0.000526517; Faza = 16.7419 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3221   X = 239 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3222   X = 239 mm; Y = 20 mm; Amplitude = 0.000490936; Faza = -157.909 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3223   X = 241 mm; Y = 20 mm; Amplitude = 0.000551669; Faza = 7.39987 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3224   X = 241 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3225   X = 241 mm; Y = 20 mm; Amplitude = 0.000487912; Faza = -166.453 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3226   X = 243 mm; Y = 20 mm; Amplitude = 0.000583319; Faza = -0.50437 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3227   X = 243 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3228   X = 243 mm; Y = 20 mm; Amplitude = 0.000490739; Faza = -175.254 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3229   X = 245 mm; Y = 20 mm; Amplitude = 0.000613057; Faza = -7.01939 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3230   X = 245 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3231   X = 245 mm; Y = 20 mm; Amplitude = 0.000499192; Faza = -183.884 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3232   X = 247 mm; Y = 20 mm; Amplitude = 0.000633306; Faza = -12.5636 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3233   X = 247 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3234   X = 247 mm; Y = 20 mm; Amplitude = 0.000511134; Faza = -192.023 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3235   X = 249 mm; Y = 20 mm; Amplitude = 0.000639227; Faza = -17.7167 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3236   X = 249 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3237   X = 249 mm; Y = 20 mm; Amplitude = 0.000523363; Faza = -199.574 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3238   X = 251 mm; Y = 20 mm; Amplitude = 0.000629585; Faza = -23.1016 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3239   X = 251 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3240   X = 251 mm; Y = 20 mm; Amplitude = 0.00053274; Faza = -206.648 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3241   X = 253 mm; Y = 20 mm; Amplitude = 0.000606656; Faza = -29.3635 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3242   X = 253 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3243   X = 253 mm; Y = 20 mm; Amplitude = 0.000537022; Faza = -213.489 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3244   X = 255 mm; Y = 20 mm; Amplitude = 0.000576488; Faza = -37.1271 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3245   X = 255 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3246   X = 255 mm; Y = 20 mm; Amplitude = 0.000535418; Faza = -220.411 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3247   X = 257 mm; Y = 20 mm; Amplitude = 0.000548565; Faza = -46.785 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3248   X = 257 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3249   X = 257 mm; Y = 20 mm; Amplitude = 0.00052882; Faza = -227.727 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3250   X = 259 mm; Y = 20 mm; Amplitude = 0.000533391; Faza = -58.1256 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3251   X = 259 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3252   X = 259 mm; Y = 20 mm; Amplitude = 0.000519588; Faza = -235.676 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3253   X = 261 mm; Y = 20 mm; Amplitude = 0.000538181; Faza = -70.0916 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3254   X = 261 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3255   X = 261 mm; Y = 20 mm; Amplitude = 0.00051101; Faza = -244.346 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3256   X = 263 mm; Y = 20 mm; Amplitude = 0.000562616; Faza = -81.2255 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3257   X = 263 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3258   X = 263 mm; Y = 20 mm; Amplitude = 0.000506387; Faza = -253.61 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3259   X = 265 mm; Y = 20 mm; Amplitude = 0.000598849; Faza = -90.5792 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3260   X = 265 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3261   X = 265 mm; Y = 20 mm; Amplitude = 0.000507804; Faza = -263.125 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3262   X = 267 mm; Y = 20 mm; Amplitude = 0.000635826; Faza = -98.0608 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3263   X = 267 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3264   X = 267 mm; Y = 20 mm; Amplitude = 0.000515243; Faza = 87.5471 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3265   X = 269 mm; Y = 20 mm; Amplitude = 0.000663494; Faza = -104.134 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3266   X = 269 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3267   X = 269 mm; Y = 20 mm; Amplitude = 0.000526543; Faza = 78.7458 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3268   X = 271 mm; Y = 20 mm; Amplitude = 0.000674908; Faza = -109.462 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3269   X = 271 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3270   X = 271 mm; Y = 20 mm; Amplitude = 0.000538236; Faza = 70.5929 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3271   X = 273 mm; Y = 20 mm; Amplitude = 0.000667; Faza = -114.755 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3272   X = 273 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3273   X = 273 mm; Y = 20 mm; Amplitude = 0.000546739; Faza = 62.9819 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3274   X = 275 mm; Y = 20 mm; Amplitude = 0.00064101; Faza = -120.767 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3275   X = 275 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3276   X = 275 mm; Y = 20 mm; Amplitude = 0.000549386; Faza = 55.6419 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3277   X = 277 mm; Y = 20 mm; Amplitude = 0.00060282; Faza = -128.302 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3278   X = 277 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3279   X = 277 mm; Y = 20 mm; Amplitude = 0.000545137; Faza = 48.2148 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3280   X = 279 mm; Y = 20 mm; Amplitude = 0.000562835; Faza = -138.068 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3281   X = 279 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3282   X = 279 mm; Y = 20 mm; Amplitude = 0.000534897; Faza = 40.3247 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3283   X = 281 mm; Y = 20 mm; Amplitude = 0.00053482; Faza = -150.269 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3284   X = 281 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3285   X = 281 mm; Y = 20 mm; Amplitude = 0.000521427; Faza = 31.6499 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3286   X = 283 mm; Y = 20 mm; Amplitude = 0.000531271; Faza = -163.95 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3287   X = 283 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3288   X = 283 mm; Y = 20 mm; Amplitude = 0.00050888; Faza = 22.0316 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3289   X = 285 mm; Y = 20 mm; Amplitude = 0.000555606; Faza = -177.118 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3290   X = 285 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3291   X = 285 mm; Y = 20 mm; Amplitude = 0.000501677; Faza = 11.5979 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3292   X = 287 mm; Y = 20 mm; Amplitude = 0.000599743; Faza = 171.825 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3293   X = 287 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3294   X = 287 mm; Y = 20 mm; Amplitude = 0.000502841; Faza = 0.791611 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3295   X = 289 mm; Y = 20 mm; Amplitude = 0.000649694; Faza = 163.222 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3296   X = 289 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3297   X = 289 mm; Y = 20 mm; Amplitude = 0.000512627; Faza = -9.78306 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3298   X = 291 mm; Y = 20 mm; Amplitude = 0.000691628; Faza = 156.542 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3299   X = 291 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3300   X = 291 mm; Y = 20 mm; Amplitude = 0.000528277; Faza = -19.6358 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3301   X = 293 mm; Y = 20 mm; Amplitude = 0.000715455; Faza = 150.976 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3302   X = 293 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3303   X = 293 mm; Y = 20 mm; Amplitude = 0.000545141; Faza = -28.5935 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3304   X = 295 mm; Y = 20 mm; Amplitude = 0.000715996; Faza = 145.713 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3305   X = 295 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3306   X = 295 mm; Y = 20 mm; Amplitude = 0.000558379; Faza = -36.7952 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3307   X = 297 mm; Y = 20 mm; Amplitude = 0.000692725; Faza = 139.932 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3308   X = 297 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3309   X = 297 mm; Y = 20 mm; Amplitude = 0.000564299; Faza = -44.5814 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3310   X = 299 mm; Y = 20 mm; Amplitude = 0.000650379; Faza = 132.728 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3311   X = 299 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3312   X = 299 mm; Y = 20 mm; Amplitude = 0.000561233; Faza = -52.3982 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3313   X = 301 mm; Y = 20 mm; Amplitude = 0.000599724; Faza = 123.155 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3314   X = 301 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3315   X = 301 mm; Y = 20 mm; Amplitude = 0.00054998; Faza = -60.7209 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3316   X = 303 mm; Y = 20 mm; Amplitude = 0.000556885; Faza = 110.546 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3317   X = 303 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3318   X = 303 mm; Y = 20 mm; Amplitude = 0.000533753; Faza = -69.974 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3319   X = 305 mm; Y = 20 mm; Amplitude = 0.000539758; Faza = 95.3881 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3320   X = 305 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3321   X = 305 mm; Y = 20 mm; Amplitude = 0.000517781; Faza = -80.4146 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3322   X = 307 mm; Y = 20 mm; Amplitude = 0.000558326; Faza = 79.9178 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3323   X = 307 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3324   X = 307 mm; Y = 20 mm; Amplitude = 0.000508021; Faza = -91.9525 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3325   X = 309 mm; Y = 20 mm; Amplitude = 0.000606505; Faza = 66.5817 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3326   X = 309 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3327   X = 309 mm; Y = 20 mm; Amplitude = 0.00050888; Faza = -104.05 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3328   X = 311 mm; Y = 20 mm; Amplitude = 0.0006673; Faza = 56.2001 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3329   X = 311 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3330   X = 311 mm; Y = 20 mm; Amplitude = 0.000521133; Faza = -115.907 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3331   X = 313 mm; Y = 20 mm; Amplitude = 0.000722897; Faza = 48.2413 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3332   X = 313 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3333   X = 313 mm; Y = 20 mm; Amplitude = 0.000541407; Faza = -126.861 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3334   X = 315 mm; Y = 20 mm; Amplitude = 0.000759994; Faza = 41.7479 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3335   X = 315 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3336   X = 315 mm; Y = 20 mm; Amplitude = 0.000563652; Faza = -136.678 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3337   X = 317 mm; Y = 20 mm; Amplitude = 0.000771175; Faza = 35.7752 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3338   X = 317 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3339   X = 317 mm; Y = 20 mm; Amplitude = 0.000581523; Faza = -145.539 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3340   X = 319 mm; Y = 20 mm; Amplitude = 0.000754864; Faza = 29.4402 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3341   X = 319 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3342   X = 319 mm; Y = 20 mm; Amplitude = 0.00059022; Faza = -153.864 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3343   X = 321 mm; Y = 20 mm; Amplitude = 0.000715464; Faza = 21.8386 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3344   X = 321 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3345   X = 321 mm; Y = 20 mm; Amplitude = 0.000587461; Faza = -162.183 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3346   X = 323 mm; Y = 20 mm; Amplitude = 0.000663781; Faza = 12.03 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3347   X = 323 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3348   X = 323 mm; Y = 20 mm; Amplitude = 0.000573988; Faza = -171.063 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3349   X = 325 mm; Y = 20 mm; Amplitude = 0.000616714; Faza = -0.69521 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3350   X = 325 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3351   X = 325 mm; Y = 20 mm; Amplitude = 0.00055365; Faza = -181.029 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3352   X = 327 mm; Y = 20 mm; Amplitude = 0.000593548; Faza = -16.0432 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3353   X = 327 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3354   X = 327 mm; Y = 20 mm; Amplitude = 0.00053292; Faza = -192.434 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3355   X = 329 mm; Y = 20 mm; Amplitude = 0.000606257; Faza = -32.0988 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3356   X = 329 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3357   X = 329 mm; Y = 20 mm; Amplitude = 0.000519407; Faza = -205.222 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3358   X = 331 mm; Y = 20 mm; Amplitude = 0.00065064; Faza = -46.4677 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3359   X = 331 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3360   X = 331 mm; Y = 20 mm; Amplitude = 0.000519039; Faza = -218.761 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3361   X = 333 mm; Y = 20 mm; Amplitude = 0.0007097; Faza = -58.1152 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3362   X = 333 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3363   X = 333 mm; Y = 20 mm; Amplitude = 0.000533022; Faza = -232.038 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3364   X = 335 mm; Y = 20 mm; Amplitude = 0.000764411; Faza = -67.439 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3365   X = 335 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3366   X = 335 mm; Y = 20 mm; Amplitude = 0.000557061; Faza = -244.22 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3367   X = 337 mm; Y = 20 mm; Amplitude = 0.00080062; Faza = -75.3627 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3368   X = 337 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3369   X = 337 mm; Y = 20 mm; Amplitude = 0.00058363; Faza = -255.047 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3370   X = 339 mm; Y = 20 mm; Amplitude = 0.000810796; Faza = -82.8437 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3371   X = 339 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3372   X = 339 mm; Y = 20 mm; Amplitude = 0.000605092; Faza = -264.757 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3373   X = 341 mm; Y = 20 mm; Amplitude = 0.000794216; Faza = -90.8055 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3374   X = 341 mm; Y = 20 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3375   X = 341 mm; Y = 20 mm; Amplitude = 0.000615866; Faza = 86.1483 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3376   X = 343 mm; Y = 20 mm; Amplitude = 0.000757113; Faza = -100.131 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
