Frequence = 40 Ghz;
N = 6894;
1.
1   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00402676; Faza = 139.527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
3831   X = 194.7 mm; Y = 6 mm; Amplitude = 0.00155654; Faza = 71.8572 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3832   X = 195.3 mm; Y = 6 mm; Amplitude = 0.00654302; Faza = -80.0517 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3833   X = 195.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3834   X = 195.3 mm; Y = 6 mm; Amplitude = 0.00206759; Faza = 89.5568 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3835   X = 195.9 mm; Y = 6 mm; Amplitude = 0.00675547; Faza = -60.4019 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3836   X = 195.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3837   X = 195.9 mm; Y = 6 mm; Amplitude = 0.00242389; Faza = -256.728 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3838   X = 196.5 mm; Y = 6 mm; Amplitude = 0.00660979; Faza = -40.8975 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3839   X = 196.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3840   X = 196.5 mm; Y = 6 mm; Amplitude = 0.00256582; Faza = -244.562 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3841   X = 197.1 mm; Y = 6 mm; Amplitude = 0.00613961; Faza = -20.1592 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3842   X = 197.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3843   X = 197.1 mm; Y = 6 mm; Amplitude = 0.00246658; Faza = -232.78 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3844   X = 197.7 mm; Y = 6 mm; Amplitude = 0.00546919; Faza = 3.46549 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3845   X = 197.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3846   X = 197.7 mm; Y = 6 mm; Amplitude = 0.0021301; Faza = -220.311 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3847   X = 198.3 mm; Y = 6 mm; Amplitude = 0.00483072; Faza = 31.7931 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3848   X = 198.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3849   X = 198.3 mm; Y = 6 mm; Amplitude = 0.00159527; Faza = -205.027 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3850   X = 198.9 mm; Y = 6 mm; Amplitude = 0.00454114; Faza = 64.9176 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3851   X = 198.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3852   X = 198.9 mm; Y = 6 mm; Amplitude = 0.000961679; Faza = -179.23 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3853   X = 199.5 mm; Y = 6 mm; Amplitude = 0.00480176; Faza = 98.4223 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3854   X = 199.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3855   X = 199.5 mm; Y = 6 mm; Amplitude = 0.000610712; Faza = -112.985 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3856   X = 200.1 mm; Y = 6 mm; Amplitude = 0.00547114; Faza = 127.242 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3857   X = 200.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3858   X = 200.1 mm; Y = 6 mm; Amplitude = 0.00107241; Faza = -55.3658 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3859   X = 200.7 mm; Y = 6 mm; Amplitude = 0.00621659; Faza = 150.834 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3860   X = 200.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3861   X = 200.7 mm; Y = 6 mm; Amplitude = 0.00171527; Faza = -32.9026 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3862   X = 201.3 mm; Y = 6 mm; Amplitude = 0.00675385; Faza = 171.034 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3863   X = 201.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3864   X = 201.3 mm; Y = 6 mm; Amplitude = 0.00223059; Faza = -18.9559 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3865   X = 201.9 mm; Y = 6 mm; Amplitude = 0.00691247; Faza = -170.251 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3866   X = 201.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3867   X = 201.9 mm; Y = 6 mm; Amplitude = 0.00252045; Faza = -7.45097 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3868   X = 202.5 mm; Y = 6 mm; Amplitude = 0.00663894; Faza = -151.309 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3869   X = 202.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3870   X = 202.5 mm; Y = 6 mm; Amplitude = 0.00254205; Faza = 3.55939 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3871   X = 203.1 mm; Y = 6 mm; Amplitude = 0.00600714; Faza = -130.236 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3872   X = 203.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3873   X = 203.1 mm; Y = 6 mm; Amplitude = 0.00229506; Faza = 15.3995 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3874   X = 203.7 mm; Y = 6 mm; Amplitude = 0.00524435; Faza = -104.674 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3875   X = 203.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3876   X = 203.7 mm; Y = 6 mm; Amplitude = 0.00182453; Faza = 30.1407 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3877   X = 204.3 mm; Y = 6 mm; Amplitude = 0.00473685; Faza = -73.095 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3878   X = 204.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3879   X = 204.3 mm; Y = 6 mm; Amplitude = 0.00124054; Faza = 53.4625 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3880   X = 204.9 mm; Y = 6 mm; Amplitude = 0.00483655; Faza = -38.9898 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3881   X = 204.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3882   X = 204.9 mm; Y = 6 mm; Amplitude = 0.000833861; Faza = -258.607 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3883   X = 205.5 mm; Y = 6 mm; Amplitude = 0.00547169; Faza = -9.15455 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3884   X = 205.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3885   X = 205.5 mm; Y = 6 mm; Amplitude = 0.00106016; Faza = -202.117 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3886   X = 206.1 mm; Y = 6 mm; Amplitude = 0.00623378; Faza = 14.7402 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3887   X = 206.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3888   X = 206.1 mm; Y = 6 mm; Amplitude = 0.00159235; Faza = -173.298 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3889   X = 206.7 mm; Y = 6 mm; Amplitude = 0.00676366; Faza = 34.8711 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3890   X = 206.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3891   X = 206.7 mm; Y = 6 mm; Amplitude = 0.00204601; Faza = -156.151 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3892   X = 207.3 mm; Y = 6 mm; Amplitude = 0.00687531; Faza = 53.6509 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3893   X = 207.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3894   X = 207.3 mm; Y = 6 mm; Amplitude = 0.0022924; Faza = -142.425 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3895   X = 207.9 mm; Y = 6 mm; Amplitude = 0.00654986; Faza = 73.1716 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3896   X = 207.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3897   X = 207.9 mm; Y = 6 mm; Amplitude = 0.00229118; Faza = -129.095 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3898   X = 208.5 mm; Y = 6 mm; Amplitude = 0.00593012; Faza = 95.552 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3899   X = 208.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3900   X = 208.5 mm; Y = 6 mm; Amplitude = 0.00205762; Faza = -114.016 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3901   X = 209.1 mm; Y = 6 mm; Amplitude = 0.00531902; Faza = 122.721 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3902   X = 209.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3903   X = 209.1 mm; Y = 6 mm; Amplitude = 0.00166638; Faza = -93.9866 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3904   X = 209.7 mm; Y = 6 mm; Amplitude = 0.00509581; Faza = 154.18 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3905   X = 209.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3906   X = 209.7 mm; Y = 6 mm; Amplitude = 0.00128504; Faza = -63.0306 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3907   X = 210.3 mm; Y = 6 mm; Amplitude = 0.00542515; Faza = -174.929 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3908   X = 210.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3909   X = 210.3 mm; Y = 6 mm; Amplitude = 0.00120083; Faza = -19.6249 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3910   X = 210.9 mm; Y = 6 mm; Amplitude = 0.00607309; Faza = -148.723 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3911   X = 210.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3912   X = 210.9 mm; Y = 6 mm; Amplitude = 0.00150187; Faza = 17.2099 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3913   X = 211.5 mm; Y = 6 mm; Amplitude = 0.00666801; Faza = -126.912 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3914   X = 211.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3915   X = 211.5 mm; Y = 6 mm; Amplitude = 0.00191661; Faza = 40.8954 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3916   X = 212.1 mm; Y = 6 mm; Amplitude = 0.00694865; Faza = -107.461 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3917   X = 212.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3918   X = 212.1 mm; Y = 6 mm; Amplitude = 0.002228; Faza = 57.85 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3919   X = 212.7 mm; Y = 6 mm; Amplitude = 0.0068121; Faza = -88.3508 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3920   X = 212.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3921   X = 212.7 mm; Y = 6 mm; Amplitude = 0.00233487; Faza = 72.2922 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3922   X = 213.3 mm; Y = 6 mm; Amplitude = 0.00630741; Faza = -67.6209 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3923   X = 213.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3924   X = 213.3 mm; Y = 6 mm; Amplitude = 0.00220469; Faza = 86.7002 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3925   X = 213.9 mm; Y = 6 mm; Amplitude = 0.00563713; Faza = -43.1662 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3926   X = 213.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3927   X = 213.9 mm; Y = 6 mm; Amplitude = 0.00186242; Faza = -256.288 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3928   X = 214.5 mm; Y = 6 mm; Amplitude = 0.00514666; Faza = -13.6239 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3929   X = 214.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3930   X = 214.5 mm; Y = 6 mm; Amplitude = 0.00141046; Faza = -231.505 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3931   X = 215.1 mm; Y = 6 mm; Amplitude = 0.00517456; Faza = 18.661 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3932   X = 215.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3933   X = 215.1 mm; Y = 6 mm; Amplitude = 0.00111085; Faza = -189.996 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3934   X = 215.7 mm; Y = 6 mm; Amplitude = 0.00573365; Faza = 48.0907 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3935   X = 215.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3936   X = 215.7 mm; Y = 6 mm; Amplitude = 0.00130585; Faza = -143.285 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3937   X = 216.3 mm; Y = 6 mm; Amplitude = 0.00649822; Faza = 72.2348 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3938   X = 216.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3939   X = 216.3 mm; Y = 6 mm; Amplitude = 0.00182257; Faza = -114.211 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3940   X = 216.9 mm; Y = 6 mm; Amplitude = 0.0071138; Faza = 92.3637 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3941   X = 216.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3942   X = 216.9 mm; Y = 6 mm; Amplitude = 0.00232711; Faza = -96.386 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3943   X = 217.5 mm; Y = 6 mm; Amplitude = 0.00735047; Faza = 110.465 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3944   X = 217.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3945   X = 217.5 mm; Y = 6 mm; Amplitude = 0.00264994; Faza = -83.1454 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3946   X = 218.1 mm; Y = 6 mm; Amplitude = 0.00711517; Faza = 128.341 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3947   X = 218.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3948   X = 218.1 mm; Y = 6 mm; Amplitude = 0.00270965; Faza = -71.6086 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3949   X = 218.7 mm; Y = 6 mm; Amplitude = 0.00645158; Faza = 147.902 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3950   X = 218.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3951   X = 218.7 mm; Y = 6 mm; Amplitude = 0.00248015; Faza = -60.0671 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3952   X = 219.3 mm; Y = 6 mm; Amplitude = 0.00556413; Faza = 171.681 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3953   X = 219.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3954   X = 219.3 mm; Y = 6 mm; Amplitude = 0.00198805; Faza = -46.3883 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3955   X = 219.9 mm; Y = 6 mm; Amplitude = 0.00485841; Faza = -157.725 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3956   X = 219.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3957   X = 219.9 mm; Y = 6 mm; Amplitude = 0.00133189; Faza = -24.8825 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3958   X = 220.5 mm; Y = 6 mm; Amplitude = 0.00482364; Faza = -122.431 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3959   X = 220.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3960   X = 220.5 mm; Y = 6 mm; Amplitude = 0.000830919; Faza = 24.5238 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3961   X = 221.1 mm; Y = 6 mm; Amplitude = 0.00552666; Faza = -90.9658 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3962   X = 221.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3963   X = 221.1 mm; Y = 6 mm; Amplitude = 0.00113699; Faza = 86.0965 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3964   X = 221.7 mm; Y = 6 mm; Amplitude = 0.00651301; Faza = -66.8465 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3965   X = 221.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3966   X = 221.7 mm; Y = 6 mm; Amplitude = 0.0018369; Faza = -246.958 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3967   X = 222.3 mm; Y = 6 mm; Amplitude = 0.00731501; Faza = -47.7844 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3968   X = 222.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3969   X = 222.3 mm; Y = 6 mm; Amplitude = 0.00244997; Faza = -232.312 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3970   X = 222.9 mm; Y = 6 mm; Amplitude = 0.00765236; Faza = -31.0818 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3971   X = 222.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3972   X = 222.9 mm; Y = 6 mm; Amplitude = 0.00282089; Faza = -221.26 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3973   X = 223.5 mm; Y = 6 mm; Amplitude = 0.00741865; Faza = -14.6378 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3974   X = 223.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3975   X = 223.5 mm; Y = 6 mm; Amplitude = 0.0028854; Faza = -211.129 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3976   X = 224.1 mm; Y = 6 mm; Amplitude = 0.00667179; Faza = 3.65429 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3977   X = 224.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3978   X = 224.1 mm; Y = 6 mm; Amplitude = 0.00263631; Faza = -200.361 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3979   X = 224.7 mm; Y = 6 mm; Amplitude = 0.00565845; Faza = 26.6295 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3980   X = 224.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3981   X = 224.7 mm; Y = 6 mm; Amplitude = 0.00212293; Faza = -186.852 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3982   X = 225.3 mm; Y = 6 mm; Amplitude = 0.00485855; Faza = 57.3072 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3983   X = 225.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3984   X = 225.3 mm; Y = 6 mm; Amplitude = 0.00147025; Faza = -165.257 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3985   X = 225.9 mm; Y = 6 mm; Amplitude = 0.00482723; Faza = 93.0313 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3986   X = 225.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3987   X = 225.9 mm; Y = 6 mm; Amplitude = 0.00099305; Faza = -121.038 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3988   X = 226.5 mm; Y = 6 mm; Amplitude = 0.00557082; Faza = 124 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3989   X = 226.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3990   X = 226.5 mm; Y = 6 mm; Amplitude = 0.00119706; Faza = -66.1339 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3991   X = 227.1 mm; Y = 6 mm; Amplitude = 0.00653131; Faza = 147.217 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3992   X = 227.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3993   X = 227.1 mm; Y = 6 mm; Amplitude = 0.00177186; Faza = -37.0988 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3994   X = 227.7 mm; Y = 6 mm; Amplitude = 0.00722062; Faza = 165.714 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3995   X = 227.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3996   X = 227.7 mm; Y = 6 mm; Amplitude = 0.00227027; Faza = -20.2747 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
3997   X = 228.3 mm; Y = 6 mm; Amplitude = 0.00739785; Faza = -177.493 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
3998   X = 228.3 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
3999   X = 228.3 mm; Y = 6 mm; Amplitude = 0.00254035; Faza = -6.98028 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4000   X = 228.9 mm; Y = 6 mm; Amplitude = 0.00703301; Faza = -160.042 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4001   X = 228.9 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4002   X = 228.9 mm; Y = 6 mm; Amplitude = 0.0025433; Faza = 6.10129 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4003   X = 229.5 mm; Y = 6 mm; Amplitude = 0.00629091; Faza = -139.562 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4004   X = 229.5 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4005   X = 229.5 mm; Y = 6 mm; Amplitude = 0.00231122; Faza = 21.2806 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4006   X = 230.1 mm; Y = 6 mm; Amplitude = 0.00553425; Faza = -113.691 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4007   X = 230.1 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4008   X = 230.1 mm; Y = 6 mm; Amplitude = 0.00194709; Faza = 41.446 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
4009   X = 230.7 mm; Y = 6 mm; Amplitude = 0.00523332; Faza = -82.7269 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; 1.
4010   X = 230.7 mm; Y = 6 mm; Amplitude = 0; Faza = 0 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; cos(f)
4011   X = 230.7 mm; Y = 6 mm; Amplitude = 0.00163474; Faza = 69.9007 degree; FiMin = 180.001 degree; FiMax = 359.999 degree; sin(f)
